InputCommand,CommandIndex
show programs,3
cease camcorder,13
invalid command,0
run camcorders,12
trash documents,10
open app,4
kill off programs,5
resurrect,2
invalid command,0
log applications,3
run keylogger,14
close keylogger,15
finish web cameras,13
list jobs,6
register utilities,3
initiate software,4
run software,4
close operation,8
commence webcam,12
show service,6
invalid command,0
reboot,2
detail job,6
stop service,8
clear document,10
close services,8
list job,6
trigger keylogger,14
kill keyloggers,15
reboot,2
cripple software,5
terminate jobs,8
delete document,10
commence application,4
invalid command,0
execute digital cameras,12
reboot,2
display operations,6
resurrect,2
close down operation,8
kill off process,8
trigger utility,4
conclude application,5
log applications,3
open operation,7
complete camcorder,13
purge records,10
commence keylogger,14
open software,4
trigger keylogger,14
detail programs,3
catalog utilities,3
begin keyloggers,14
kill off tool,5
screen shot,11
activate tool,4
redeem,2
finish keyloggers,15
initiate job,7
display process,6
complete jobs,8
disable,1
acquire file,9
run webcams,12
revive,2
begin app,4
purge logs,10
begin keylogger,14
launch services,7
execute digital camera,12
launch keyloggers,14
fetch registers,9
execute keylogger,14
detail operation,6
display programs,3
invalid command,0
disable,1
restarting,2
detail process,6
commence task,7
begin webcams,12
shut cameras,13
commence keylogger,14
exit keyloggers,15
display applications,3
start apps,4
repossess,2
terminate tasks,8
start tasks,7
clear information,10
screen capture,11
purge registers,10
purge files,10
conclude programs,5
end programs,5
commence utilities,4
kill tool,5
power off utilities,5
invalid command,0
invalid command,0
conclude app,5
invalid command,0
turn off,1
repossess,2
start tools,4
retrieve records,9
register programs,3
reinstate,2
snapshot,11
trigger tools,4
fetch files,9
initiate programs,4
reboot,2
launch keylogger,14
start keyloggers,14
open web cameras,12
terminate application,5
turn off program,5
invalid command,0
start keyloggers,14
enumerate applications,3
commence web cameras,12
list process,6
kill off software,5
invalid command,0
run cameras,12
recover,2
initiate jobs,7
terminate application,5
cripple,1
close operations,8
open keylogger,14
begin webcams,12
complete keyloggers,15
power off,1
conclude keyloggers,15
commence program,4
invalid command,0
catalog applications,3
power off,1
exit webcams,13
erase records,10
uninstall register,10
index applications,3
invalid command,0
end keyloggers,15
run processes,7
open keyloggers,14
trash record,10
finish process,8
end application,5
initiate application,4
purge logs,10
screenshot,11
initiate webcams,12
screenshot,11
renew,2
commence camcorder,12
halt,1
terminate tool,5
show tools,3
execute keyloggers,14
open keyloggers,14
kill off keyloggers,15
discard records,10
invalid command,0
reinstate,2
shut down jobs,8
close app,5
shut utility,5
register process,6
purge registers,10
screenshot,11
invalid command,0
display services,6
trigger keylogger,14
begin apps,4
kill utility,5
end task,8
record job,6
list software,3
open operations,7
execute application,4
initiate webcam,12
retrieve data,9
screen grab,11
conclude apps,5
turn off,1
commence job,7
delete information,10
trash files,10
open utilities,4
register tools,3
